The Irish Times the-irish-times 2019-09-03T05:00 2019-10-03T17:46:46 269

ABC News abc-news 2019-09-03T08:35:15 2019-10-03T17:48:40 263

Reuters reuters 2019-09-03T12:48:56 2019-10-03T17:47:25 270

Al Jazeera English al-jazeera-english 2019-09-03T01:04:08 2019-10-03T17:08:50 255

BBC News bbc-news 2019-09-03T00:58:01 2019-10-03T17:49:31 220

CBS News cbs-news 2019-09-03T00:10:19 2019-10-03T17:35:36 123

The New York Times the-new-york-times 2019-09-03T06:59:04 2019-10-03T17:28:27 268

Business Insider business-insider 2019-09-03T00:00 2019-10-03T17:47:46 258

Newsweek newsweek 2019-09-03T00:10:54 2019-10-03T13:51:23 274

CNN cnn 2019-09-03T06:07:39 2019-10-03T17:48:53 143

The Wall Street Journal the-wall-street-journal 2019-09-03T00:31:44 2019-10-03T15:51:12 243

ESPN espn 2019-09-03T10:55 2019-10-03T16:14 275


